Order_Id,Order_Date,Time,Aging,Customer_Id,Gender,Device_Type,Customer_Login_type,Product,Product_Category,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_Method,Product_Id
28,02-05-2018,11:45:38,,26058,Female,Web,Member,Car Media Players,Auto & Accessories,140,1,0.3,55.8,5.6,High,credit_card,1
29,25-08-2018,13:50:30,7,38941,Female,Web,Member,Car Speakers,Auto & Accessories,211,1,0.3,112,11.2,Medium,credit_card,2
30,10-11-2018,11:58:33,4,19919,Female,Web,Member,Car Body Covers,Auto & Accessories,117,1,0.2,34.7,3.5,High,money_order,3
31,16-09-2018,21:15:39,9,56625,Female,Web,Member,Car & Bike Care,Auto & Accessories,118,1,0.3,27.4,2.7,Critical,credit_card,4
32,12-03-2018,13:56:04,5,33501,Female,Web,Member,Tyre,Auto & Accessories,250,1,0.2,165,16.5,Medium,credit_card,5
33,03-08-2018,12:38:58,10,40865,Female,Web,Member,Bike Tyres,Auto & Accessories,72,4,0.3,18,1.8,High,credit_card,6
34,29-07-2018,23:34:51,5,38256,Female,Web,Member,Car Mat,Auto & Accessories,54,4,0.3,13.5,1.4,Critical,credit_card,7
35,17-08-2018,15:59:46,1,14567,Female,Web,Member,Car Seat Covers,Auto & Accessories,114,4,0.1,29.4,2.9,High,credit_card,8
36,21-08-2018,18:15:12,4,38178,Female,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,1,0.3,127.9,12.8,High,credit_card,9
37,30-07-2018,21:37:10,6,24153,Female,Web,Member,Car Media Players,Auto & Accessories,140,5,0.3,32,3.2,Medium,credit_card,1
38,01-10-2018,12:23:13,3,27385,Female,Web,Member,Car Speakers,Auto & Accessories,211,4,0.1,122.6,12.3,Critical,credit_card,2
39,26-12-2018,17:12:18,2,44937,Female,Web,Member,Car Body Covers,Auto & Accessories,117,1,0.3,32.3,3.2,High,credit_card,3
40,19-05-2018,18:53:40,6,38490,Female,Web,Member,Car & Bike Care,Auto & Accessories,118,5,0.3,14.4,1.4,Critical,money_order,4
41,24-04-2018,21:27:48,4,30549,Female,Web,Member,Tyre,Auto & Accessories,250,5,0.3,132.5,13.3,Critical,credit_card,5
42,04-11-2018,17:10:39,8,50606,Female,Web,Member,Bike Tyres,Auto & Accessories,72,5,0.2,14.4,1.4,Critical,credit_card,6
43,04-11-2018,23:25:30,1,42084,Female,Web,Member,Car Mat,Auto & Accessories,54,5,0.1,10.8,1.1,High,money_order,7
44,18-05-2018,13:55:47,5,52161,Female,Web,Member,Car Seat Covers,Auto & Accessories,114,4,0.3,15.8,1.6,Critical,credit_card,8
45,14-05-2018,20:28:25,7,32218,Female,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,4,0.3,114,11.4,High,money_order,9
46,17-05-2018,16:59:11,8,36491,Female,Web,Member,Car Media Players,Auto & Accessories,140,1,0.3,46,4.6,Critical,credit_card,1
47,29-07-2018,11:24:17,6,12227,Female,Web,Member,Car Speakers,Auto & Accessories,211,1,0.1,128.9,12.9,Critical,credit_card,2
48,09-11-2018,20:19:05,1,13196,Female,Web,Member,Car Body Covers,Auto & Accessories,117,4,0.3,13.6,1.4,Critical,credit_card,3
49,01-08-2018,14:02:19,6,50444,Female,Web,Guest,Car & Bike Care,Auto & Accessories,118,5,0.3,14.4,1.4,Critical,credit_card,4
50,26-10-2018,13:42:52,5,24528,Male,Web,Member,Tyre,Auto & Accessories,250,1,0.1,165,16.5,Medium,credit_card,5
51,26-07-2018,14:39:59,3,57748,Male,Web,Member,Bike Tyres,Auto & Accessories,72,1,0.1,36,3.6,Critical,credit_card,6
52,15-03-2018,0:06:10,6,46349,Male,Web,Member,Car Mat,Auto & Accessories,54,5,0.3,10.8,1.1,High,credit_card,7
53,30-11-2018,8:15:24,4,54853,Male,Web,Member,Car Seat Covers,Auto & Accessories,114,4,0.3,11.2,1.1,High,credit_card,8
54,11-10-2018,10:25:52,2,28082,Male,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,1,0.3,132.5,13.3,High,money_order,9
55,11-10-2018,8:18:19,6,20444,Male,Web,Member,Car Media Players,Auto & Accessories,140,1,0.3,51.6,5.2,High,money_order,1
56,09-12-2018,14:50:15,5,51472,Male,Web,Member,Car Speakers,Auto & Accessories,211,1,0.1,128.9,12.9,Critical,credit_card,2
57,13-12-2018,18:14:36,8,45606,Male,Web,Member,Car Body Covers,Auto & Accessories,117,4,0.2,27.6,2.8,High,credit_card,3
58,13-10-2018,21:11:26,5,47238,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,1,0.3,20.3,2,Critical,credit_card,4
59,30-04-2018,22:02:15,6,18609,Male,Web,Member,Tyre,Auto & Accessories,250,1,0.3,160,16,Medium,credit_card,5
60,05-11-2018,13:09:48,3,39387,Male,Web,Member,Bike Tyres,Auto & Accessories,72,1,0.3,36,3.6,High,credit_card,6
61,15-04-2018,11:31:41,9,47027,Male,Web,Member,Car Mat,Auto & Accessories,54,5,0.1,10.8,1.1,High,credit_card,7
62,19-08-2018,20:31:09,9,31526,Male,Web,Member,Car Seat Covers,Auto & Accessories,114,1,0.1,30.6,3.1,High,credit_card,8
63,22-09-2018,8:48:13,8,25308,Male,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,5,0.2,127.9,12.8,Medium,money_order,9
64,07-06-2018,21:44:54,2,47320,Male,Web,Member,Car Media Players,Auto & Accessories,140,1,0.3,53,5.3,Critical,credit_card,1
65,10-08-2018,13:26:59,4,52527,Male,Web,Member,Car Speakers,Auto & Accessories,211,1,0.3,109.9,11,Medium,money_order,2
66,18-10-2018,16:02:23,2,17333,Male,Web,Member,Car Body Covers,Auto & Accessories,117,1,0.2,34.7,3.5,High,credit_card,3
67,13-10-2018,13:47:39,3,26223,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,1,0.1,36.8,3.7,High,credit_card,4
68,15-07-2018,8:33:19,1,22734,Male,Web,Member,Tyre,Auto & Accessories,250,1,0.1,167.5,16.8,High,money_order,5
69,13-02-2018,14:27:11,2,54066,Male,Web,Member,Bike Tyres,Auto & Accessories,72,1,0.2,72,7.2,High,e_wallet,6
70,13-09-2018,8:44:17,4,55093,Male,Web,Member,Car Mat,Auto & Accessories,54,1,0.3,54,5.4,Critical,credit_card,7
71,15-08-2018,10:33:30,2,49436,Male,Web,Member,Car Seat Covers,Auto & Accessories,114,4,0.3,20.3,2,Medium,e_wallet,8
72,20-08-2018,11:45:39,3,41257,Male,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,1,0.3,116.4,11.6,Medium,credit_card,9
73,20-09-2018,17:15:46,6,55433,Male,Web,Member,Car Media Players,Auto & Accessories,140,4,0.3,32,3.2,High,money_order,1
74,15-02-2018,9:19:48,1,13366,Male,Web,Member,Car Speakers,Auto & Accessories,211,5,0.1,120.5,12,Critical,credit_card,2
75,28-07-2018,16:52:55,4,41451,Male,Web,Member,Car Body Covers,Auto & Accessories,117,4,0.1,32.3,3.2,High,credit_card,3
76,09-11-2018,18:32:47,2,42588,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,1,0.1,36.8,3.7,High,e_wallet,4
77,26-11-2018,22:04:34,9,26754,Male,Web,Member,Tyre,Auto & Accessories,250,4,0.3,140,14,Critical,credit_card,5
78,30-07-2018,3:06:35,10,34365,Male,Web,Member,Bike Tyres,Auto & Accessories,72,4,0.3,18,1.8,Critical,credit_card,6
79,22-03-2018,0:17:37,4,49745,Male,Web,Member,Car Mat,Auto & Accessories,54,5,0.3,10.8,1.1,High,credit_card,7
80,06-09-2018,22:39:29,8,53213,Male,Web,Member,Car Seat Covers,Auto & Accessories,114,1,0.3,28.3,2.8,Critical,credit_card,8
81,09-05-2018,20:48:59,8,43735,Male,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,1,0.3,144.1,14.4,High,credit_card,9
82,20-09-2018,20:42:44,8,14760,Male,Web,Member,Car Media Players,Auto & Accessories,140,1,0.1,58.6,5.9,High,credit_card,1
83,16-01-2018,14:56:50,10,44410,Male,Web,Member,Car Speakers,Auto & Accessories,211,5,0.3,99.4,9.9,High,credit_card,2
84,08-03-2018,9:42:43,1,53552,Male,Web,Member,Car Body Covers,Auto & Accessories,117,1,0.2,30,3,Critical,credit_card,3
85,26-11-2018,16:53:30,1,39696,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,1,0.3,28.6,2.9,High,credit_card,4
86,27-08-2018,12:55:42,3,22235,Male,Web,Member,Tyre,Auto & Accessories,250,4,0.3,120,12,Critical,debit_card,5
87,11-05-2018,13:10:51,7,42599,Male,Web,Member,Bike Tyres,Auto & Accessories,72,1,0.2,36,3.6,High,credit_card,6
88,22-06-2018,19:22:22,7,27079,Female,Web,Member,Car Mat,Auto & Accessories,54,1,0.3,27,2.7,Critical,credit_card,7
89,01-05-2018,8:12:37,1,57745,Male,Web,Guest,Car Seat Covers,Auto & Accessories,114,1,0.3,24.9,2.5,High,credit_card,8
90,19-02-2018,22:17:15,4,20917,Male,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,5,0.3,104.8,10.5,Critical,credit_card,9
91,11-09-2018,22:32:31,2,54446,Male,Web,Member,Car Media Players,Auto & Accessories,140,1,0.3,54.4,5.4,High,credit_card,1
92,20-03-2018,23:45:07,5,55746,Male,Web,Member,Car Speakers,Auto & Accessories,211,1,0.1,124.7,12.5,Critical,credit_card,2
93,22-09-2018,23:23:18,10,58534,Male,Web,Member,Car Body Covers,Auto & Accessories,117,1,0.2,32.3,3.2,Critical,credit_card,3
94,03-11-2018,8:59:39,2,53957,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,4,0.3,19.1,1.9,Critical,credit_card,4
95,14-05-2018,8:35:33,8,53395,Male,Web,Member,Tyre,Auto & Accessories,250,4,0.3,140,14,High,credit_card,5
96,22-04-2018,11:32:22,5,52267,Male,Web,Member,Bike Tyres,Auto & Accessories,72,,0.1,36,3.6,Critical,credit_card,6
97,30-12-2018,7:50:33,7,29085,Male,Web,Member,Car Mat,Auto & Accessories,54,5,0.2,10.8,1.1,High,credit_card,7
98,05-10-2018,9:10:34,8,56399,Male,Web,Member,Car Seat Covers,Auto & Accessories,114,1,0.3,20.3,2,High,credit_card,8
99,26-11-2018,11:04:26,5,27009,Female,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,1,0.2,141.8,14.2,Critical,credit_card,9
100,17-05-2018,8:36:11,2,35336,Male,Web,Member,Car Media Players,Auto & Accessories,140,1,0.1,58.6,5.9,Critical,credit_card,1
101,30-07-2018,22:41:44,6,26503,Male,Web,Member,Car Speakers,Auto & Accessories,211,5,0.3,99.4,9.9,Critical,money_order,2
102,01-12-2018,22:14:26,2,50579,Male,Web,Member,Car Body Covers,Auto & Accessories,117,1,0.3,26.5,2.6,High,credit_card,3
103,06-08-2018,21:09:10,4,54326,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,5,0.3,14.4,1.4,Critical,e_wallet,4
104,28-06-2018,23:45:53,10,23420,Male,Web,Member,Tyre,Auto & Accessories,250,1,0.3,132.5,13.3,High,credit_card,5
105,27-06-2018,22:04:34,6,32534,Male,Web,Member,Bike Tyres,Auto & Accessories,72,4,0.3,18,1.8,High,credit_card,6
106,01-07-2018,15:42:32,1,22902,Male,Web,Member,Car Mat,Auto & Accessories,54,5,0.1,10.8,1.1,Critical,credit_card,7
107,27-02-2018,12:07:22,1,31526,Male,Web,Member,Car Seat Covers,Auto & Accessories,114,1,0.2,29.4,2.9,Critical,credit_card,8
108,28-04-2018,21:00:44,7,40170,Male,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,1,0.2,137.1,13.7,Critical,money_order,9
109,01-08-2018,12:31:21,6,18701,Male,Web,Member,Car Media Players,Auto & Accessories,140,4,0.3,43.2,4.3,Medium,credit_card,1
110,22-11-2018,16:10:29,10,10773,Male,Web,Member,Car Speakers,Auto & Accessories,211,1,0.3,99.4,9.9,Critical,credit_card,2
111,06-07-2018,23:36:15,4,41607,Female,Web,Member,Car Body Covers,Auto & Accessories,117,5,0.3,7.8,0.8,Critical,credit_card,3
112,09-05-2018,18:27:00,2,26936,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,1,0.1,34.5,3.4,Medium,debit_card,4
113,26-04-2018,17:49:46,10,56518,Male,Web,Member,Tyre,Auto & Accessories,250,5,0.1,157.5,15.8,High,credit_card,5
114,27-10-2018,23:11:57,9,44722,Female,Web,Member,Bike Tyres,Auto & Accessories,72,1,0.3,36,3.6,High,credit_card,6
115,23-06-2018,10:32:39,5,39332,Male,Web,Member,Car Mat,Auto & Accessories,54,4,0.2,13.5,1.4,High,credit_card,7
116,20-11-2018,18:24:30,7,39095,Male,Web,Member,Car Seat Covers,Auto & Accessories,114,5,0.3,5.5,0.6,High,credit_card,8
117,30-06-2018,7:51:17,1,55428,Male,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,4,0.2,132.5,13.3,Critical,credit_card,9
118,30-12-2018,14:20:46,1,16481,Male,Web,Guest,Car Media Players,Auto & Accessories,140,1,0.3,54.4,5.4,High,credit_card,1
119,07-12-2018,23:00:33,8,23129,Male,Web,Member,Car Speakers,Auto & Accessories,211,1,0.3,105.7,10.6,High,credit_card,2
120,08-05-2018,22:12:34,7,39272,Male,Web,Member,Car Body Covers,Auto & Accessories,117,5,0.1,31.2,3.1,Critical,credit_card,3
121,30-12-2018,14:46:00,8,54296,Male,Web,Guest,Car & Bike Care,Auto & Accessories,118,5,0.3,20.3,2,High,credit_card,4
122,24-04-2018,21:55:22,5,50254,Male,Web,Member,Tyre,Auto & Accessories,250,4,0.3,120,12,High,e_wallet,5
123,25-09-2018,22:18:10,6,42386,Male,Web,Member,Bike Tyres,Auto & Accessories,72,4,0.3,18,1.8,Critical,credit_card,6
124,16-07-2018,10:27:45,7,16296,Male,Web,Member,Car Mat,Auto & Accessories,54,1,0.1,54,5.4,High,money_order,7
125,21-04-2018,12:08:32,7,43547,Male,Web,Member,Car Seat Covers,Auto & Accessories,114,1,0.2,27.2,2.7,High,credit_card,8
126,19-01-2018,15:08:48,10,58155,Male,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,1,0.1,148.7,14.9,Critical,money_order,9
127,22-07-2018,15:19:05,9,46686,Male,Web,Member,Car Media Players,Auto & Accessories,140,1,0.1,58.6,5.9,High,credit_card,1
128,02-03-2018,14:28:03,1,39372,Male,Web,Guest,Car Speakers,Auto & Accessories,211,1,0.1,124.7,12.5,High,credit_card,2
129,26-12-2018,9:14:26,3,23926,Male,Web,Member,Car Body Covers,Auto & Accessories,117,5,0.3,13.6,1.4,High,credit_card,3
130,09-06-2018,6:37:43,3,59723,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,5,0.2,26.2,2.6,Medium,credit_card,4
131,06-08-2018,18:25:39,2,13656,Male,Web,Member,Tyre,Auto & Accessories,250,1,0.2,155,15.5,High,money_order,5
132,18-07-2018,13:39:54,3,47245,Male,Web,Member,Bike Tyres,Auto & Accessories,72,5,0.3,14.4,1.4,Critical,credit_card,6
133,28-12-2018,16:03:34,7,26200,Male,Web,Member,Car Mat,Auto & Accessories,54,1,0.2,54,5.4,High,credit_card,7
134,08-10-2018,12:19:58,9,34771,Male,Web,Guest,Car Seat Covers,Auto & Accessories,114,5,0.3,5.5,0.6,Critical,e_wallet,8
135,10-07-2018,12:23:05,4,30722,Male,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,1,0.2,141.8,14.2,Critical,money_order,9
136,16-05-2018,16:10:21,6,46226,Male,Web,Member,Car Media Players,Auto & Accessories,140,1,0.3,55.8,5.6,High,credit_card,1
137,05-07-2018,18:40:47,10,31323,Male,Web,Member,Car Speakers,Auto & Accessories,211,4,0.2,114.1,11.4,Critical,credit_card,2
138,20-02-2018,17:12:34,6,57896,Male,Web,Member,Car Body Covers,Auto & Accessories,117,5,0.3,13.6,1.4,Critical,credit_card,3
139,21-08-2018,17:15:49,1,52183,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,5,0.3,14.4,1.4,Critical,credit_card,4
140,10-06-2018,14:18:40,3,16327,Male,Web,Member,Tyre,Auto & Accessories,250,4,0.3,120,12,Medium,e_wallet,5
141,26-09-2018,16:14:11,2,31345,Male,Web,Member,Bike Tyres,Auto & Accessories,72,5,0.3,14.4,1.4,Critical,credit_card,6
142,27-04-2018,19:24:52,2,17243,Female,Web,Member,Car Mat,Auto & Accessories,54,5,0.3,10.8,1.1,Medium,credit_card,7
143,11-05-2018,16:35:19,3,27820,Male,Web,Guest,Car Seat Covers,Auto & Accessories,114,4,0.3,11.2,1.1,Critical,money_order,8
144,25-05-2018,8:54:21,4,58874,Male,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,1,0.3,139.5,13.9,Critical,credit_card,9
145,26-04-2018,9:32:06,7,28090,Male,Web,Member,Car Media Players,Auto & Accessories,140,5,0.1,53,5.3,Critical,money_order,1
146,17-04-2018,21:14:42,5,44331,Male,Web,Member,Car Speakers,Auto & Accessories,211,5,0.3,88.8,8.9,High,credit_card,2
147,23-07-2018,18:27:07,6,46006,Male,Web,Member,Car Body Covers,Auto & Accessories,117,1,0.2,34.7,3.5,Critical,credit_card,3
148,14-08-2018,13:05:17,3,22080,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,5,0.3,8.5,0.9,Medium,credit_card,4
149,30-09-2018,22:43:56,5,41793,Male,Web,Member,Tyre,Auto & Accessories,250,1,0.3,160,16,Critical,credit_card,5
150,15-05-2018,16:29:03,8,28996,Male,Web,Member,Bike Tyres,Auto & Accessories,72,1,0.2,24,2.4,High,credit_card,6
151,22-07-2018,19:16:47,3,36277,Male,Web,Member,Car Mat,Auto & Accessories,54,4,0.3,13.5,1.4,High,credit_card,7
152,24-10-2018,19:01:52,2,45487,Male,Web,Guest,Car Seat Covers,Auto & Accessories,114,4,0.3,15.8,1.6,Critical,money_order,8
153,02-07-2018,12:54:20,10,13020,Male,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,1,0.3,144.1,14.4,Critical,credit_card,9
154,06-12-2018,0:14:28,6,52525,Male,Web,Member,Car Media Players,Auto & Accessories,140,1,0.1,58.6,5.9,High,credit_card,1
155,04-01-2018,23:02:21,2,29479,Male,Web,Member,Car Speakers,Auto & Accessories,211,5,0.3,99.4,9.9,High,credit_card,2
156,21-03-2018,17:43:41,8,16029,Female,Web,Member,Car Body Covers,Auto & Accessories,117,4,0.1,32.3,3.2,Critical,money_order,3
157,02-08-2018,16:15:41,2,37402,Male,Web,Guest,Car & Bike Care,Auto & Accessories,118,1,0.3,32.1,3.2,Critical,money_order,4
158,01-10-2018,11:26:06,4,53794,Male,Web,Member,Tyre,Auto & Accessories,250,1,0.1,162.5,16.3,Medium,credit_card,5
159,09-11-2018,16:23:03,1,32178,Male,Web,Member,Bike Tyres,Auto & Accessories,72,1,0.1,24,2.4,High,credit_card,6
160,15-04-2018,13:47:34,9,58607,Male,Web,Member,Car Mat,Auto & Accessories,54,5,0.3,10.8,1.1,Medium,credit_card,7
161,26-09-2018,11:59:05,9,20045,Male,Web,Member,Car Seat Covers,Auto & Accessories,114,1,0.1,31.7,3.2,High,credit_card,8
162,15-07-2018,12:37:12,3,15311,Male,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,4,0.3,123.3,12.3,Critical,credit_card,9
163,30-05-2018,22:33:08,6,48474,Male,Web,Member,Car Media Players,Auto & Accessories,140,1,0.3,55.8,5.6,Critical,credit_card,1
164,02-03-2018,14:08:33,1,20784,Male,Web,Member,Car Speakers,Auto & Accessories,211,1,0.2,122.6,12.3,Medium,money_order,2
165,29-12-2018,14:27:41,9,13649,Male,Web,Member,Car Body Covers,Auto & Accessories,117,4,0.2,27.6,2.8,Critical,e_wallet,3
166,25-10-2018,15:36:18,7,45439,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,1,0.1,36.8,3.7,Critical,credit_card,4
167,11-02-2018,7:54:38,1,34182,Male,Web,Member,Tyre,Auto & Accessories,250,5,0.2,145,14.5,Critical,e_wallet,5
168,15-09-2018,19:42:06,1,30880,Male,Web,Member,Bike Tyres,Auto & Accessories,72,1,0.3,72,7.2,High,credit_card,6
169,13-06-2018,8:19:23,2,52427,Male,Web,Member,Car Mat,Auto & Accessories,54,5,0.3,10.8,1.1,Critical,money_order,7
170,04-09-2018,8:39:50,5,55136,Male,Web,Member,Car Seat Covers,Auto & Accessories,114,1,0.3,24.9,2.5,High,credit_card,8
171,26-02-2018,12:32:39,1,47162,Female,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,4,0.2,132.5,13.3,High,credit_card,9
172,28-08-2018,17:00:28,8,56059,Male,Web,Member,Car Media Players,Auto & Accessories,140,4,0.2,48.8,4.9,Critical,credit_card,1
173,22-09-2018,19:26:47,8,27239,Female,Web,Member,Car Speakers,Auto & Accessories,211,4,0.1,122.6,12.3,Medium,credit_card,2
174,13-02-2018,9:18:50,5,49838,Male,Web,Member,Car Body Covers,Auto & Accessories,117,5,0.3,19.5,1.9,High,credit_card,3
175,18-06-2018,9:30:54,1,48939,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,5,0.1,32.1,3.2,High,credit_card,4
176,14-12-2018,16:25:43,5,37902,Male,Web,Member,Tyre,Auto & Accessories,250,5,0.3,132.5,13.3,High,money_order,5
177,20-03-2018,12:30:40,10,31091,Male,Web,Member,Bike Tyres,Auto & Accessories,72,1,0.3,36,3.6,Critical,money_order,6
178,04-03-2018,17:24:57,5,36695,Male,Web,Guest,Car Mat,Auto & Accessories,54,1,0.3,27,2.7,High,credit_card,7
179,03-11-2018,22:23:06,10,52162,Male,Web,Member,Car Seat Covers,Auto & Accessories,114,1,0.3,27.2,2.7,Critical,money_order,8
180,29-12-2018,14:29:44,10,22796,Male,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,1,0.3,139.5,13.9,High,credit_card,9
181,18-05-2018,20:59:24,6,20028,Male,Web,Member,Car Media Players,Auto & Accessories,140,5,0.3,25,2.5,High,credit_card,1
182,16-10-2018,0:22:49,2,38370,Female,Web,Member,Car Speakers,Auto & Accessories,211,1,0.2,126.8,12.7,High,e_wallet,2
183,05-07-2018,9:16:49,2,47033,Male,Web,Member,Car Body Covers,Auto & Accessories,117,5,0.3,13.6,1.4,Medium,e_wallet,3
184,27-07-2018,12:45:51,2,55217,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,4,0.3,23.8,2.4,Critical,credit_card,4
185,08-07-2018,14:12:08,3,24701,Male,Web,Member,Tyre,Auto & Accessories,250,4,0.3,120,12,Critical,credit_card,5
186,15-12-2018,16:59:11,8,17706,Male,Web,Member,Bike Tyres,Auto & Accessories,72,1,0.1,24,2.4,Critical,money_order,6
187,25-10-2018,19:30:09,2,59762,Male,Web,Member,Car Mat,Auto & Accessories,54,5,0.2,10.8,1.1,High,credit_card,7
188,28-08-2018,21:27:43,1,43985,Male,Web,Guest,Car Seat Covers,Auto & Accessories,114,1,0.3,28.3,2.8,Critical,credit_card,8
189,16-09-2018,21:07:16,4,38808,Female,Web,Member,Car Pillow & Neck Rest,Auto & Accessories,231,5,0.2,127.9,12.8,Medium,credit_card,9
190,15-05-2018,19:55:51,7,56608,Male,Web,Member,Car Media Players,Auto & Accessories,140,1,0.1,55.8,5.6,Medium,credit_card,1
191,13-07-2018,15:45:51,2,56673,Male,Web,Member,Car Speakers,Auto & Accessories,211,4,0.3,105.7,10.6,High,money_order,2
192,01-11-2018,18:52:12,5,31345,Female,Web,Member,Car Body Covers,Auto & Accessories,117,1,0.2,32.3,3.2,Critical,credit_card,3
193,21-07-2018,12:49:32,6,25891,Male,Web,Member,Car & Bike Care,Auto & Accessories,118,1,0.2,33.3,3.3,Critical,credit_card,4
